SET_CN,SETTING_ID,MEASUREMENT_DATE,MEASUREMENT_NO,COUNTY,PLOT,TREE_CN,TAG_ID,LIVE_DEAD,SPECIES_SYMBOL,DIAMETER,TPA_EQUIV,BASAL_AREA_EQUIV,HEIGHT,HEIGHT_METHOD,CROWN_RATIO,CROWN_CLASS,AGE,AGE_METHOD,RADIAL_GROWTH,RADIAL_GROWTH_METHOD,HEIGHT_GROWTH,HEIGHT_GROWTH_METHOD,SNAG_DECAY_CLASS
1618972010602,300100750111,9/26/2010,2,007,1,11011313010602,0001,D,PIAL,10.100,24.00000,13.3527,37.0000,M,,,,,,,,,1
1618972010602,300100750111,9/26/2010,2,007,1,11011310010602,0002,D,PIAL,8.100,24.00000,8.5881,34.0000,M,,,,,,,,,1
1618972010602,300100750111,9/26/2010,2,007,1,11011312010602,0003,D,PIAL,9.700,24.00000,12.3160,37.0000,M,,,,,,,,,1
1618972010602,300100750111,9/26/2010,2,007,1,11011311010602,0004,D,PIAL,8.900,24.00000,10.3683,35.0000,M,,,,,,,,,2
1618972010602,300100750111,9/26/2010,2,007,1,11011308010602,0005,D,PIAL,5.400,24.00000,3.8169,20.0000,M,,,,,,,,,3
1618972010602,300100750111,9/26/2010,2,007,1,11011298010602,0006,D,PIAL,6.000,24.00000,4.7123,30.0000,M,,,,,,,,,1
1618972010602,300100750111,9/26/2010,2,007,1,11011314010602,0007,L,PICO,8.200,24.00000,8.8014,41.0000,M,40,CO,90,DM,6,M,,,
1618972010602,300100750111,9/26/2010,2,007,1,11011301010602,0008,L,PIAL,7.100,24.00000,6.5985,36.0000,C,40,CO,94,DC,5,C,,,
1618972010602,300100750111,9/26/2010,2,007,1,11011309010602,0009,D,PIAL,6.100,24.00000,4.8706,24.0000,M,,,,,,,,,1
1618972010602,300100750111,9/26/2010,2,007,1,11011297010602,0010,D,PIAL,6.000,24.00000,4.7123,30.0000,M,,,,,,,,,1
1618972010602,300100750111,9/26/2010,2,007,1,11011295010602,0011,D,PIAL,5.100,24.00000,3.4046,36.0000,M,,,,,,,,,1
1618972010602,300100750111,9/26/2010,2,007,1,11011300010602,0012,D,PIAL,6.300,24.00000,5.1953,43.0000,M,,,,,,,,,1
1618972010602,300100750111,9/26/2010,2,007,1,11011304010602,0013,D,PIAL,8.900,24.00000,10.3683,45.0000,M,,,,,,,,,1
1618972010602,300100750111,9/26/2010,2,007,1,11011299010602,0014,D,PIAL,6.300,24.00000,5.1953,38.0000,M,,,,,,,,,1
1618972010602,300100750111,9/26/2010,2,007,1,11011305010602,0015,D,PIAL,10.300,24.00000,13.8868,36.0000,M,,,,,,,,,1
1618972010602,300100750111,9/26/2010,2,007,1,11011303010602,0016,D,PIAL,8.600,24.00000,9.6811,37.0000,M,,,,,,,,,1
1618972010602,300100750111,9/26/2010,2,007,1,11011302010602,0017,D,PIAL,8.100,24.00000,8.5881,37.0000,M,,,,,,,,,1
1618972010602,300100750111,9/26/2010,2,007,1,11011296010602,0018,D,PIAL,5.200,24.00000,3.5394,35.0000,M,,,,,,,,,1
1618972010602,300100750111,9/26/2010,2,007,1,11011307010602,0019,L,PIAL,3.000,300.00000,14.7258,22.0000,M,10,IN,105,TM,1,M,,,
1618972010602,300100750111,9/26/2010,2,007,1,11011294010602,0021,L,ABLA,,2699.00000,,1.0000,M,90,OV,,,,,,,
1626991010602,300100750121,10/4/2009,2,007,1,,,,,,,,,,,,,,,,,,
1741629010602,300100750131,10/20/2008,2,007,1,,,,,,,,,,,,,,,,,,
1618974010602,300100750351,9/26/2010,2,007,1,11011339010602,0001,D,PICO,6.000,24.00000,4.7123,28.0000,M,,,,,,,,,1
1618974010602,300100750351,9/26/2010,2,007,1,11011338010602,0002,D,PICO,5.000,24.00000,3.2724,27.0000,M,,,,,,,,,2
1618974010602,300100750351,9/26/2010,2,007,1,11011326010602,0003,L,PICO,5.600,24.00000,4.1049,28.0000,C,40,CO,99,DC,5,C,,,
1618974010602,300100750351,9/26/2010,2,007,1,11011335010602,0004,D,PICO,7.800,24.00000,7.9637,31.0000,M,,,,,,,,,1
1618974010602,300100750351,9/26/2010,2,007,1,11011319010602,0005,L,PICO,5.200,24.00000,3.5394,28.0000,C,60,CO,99,DC,5,C,,,
1618974010602,300100750351,9/26/2010,2,007,1,11011330010602,0006,L,PICO,6.900,24.00000,6.2320,28.0000,C,30,CO,99,DC,5,C,,,
1618974010602,300100750351,9/26/2010,2,007,1,11011329010602,0007,L,PICO,6.900,24.00000,6.2320,28.0000,C,20,CO,99,DC,5,C,,,
1618974010602,300100750351,9/26/2010,2,007,1,11011331010602,0008,L,PICO,7.000,24.00000,6.4139,28.0000,C,50,CO,99,DC,5,C,,,
1618974010602,300100750351,9/26/2010,2,007,1,11011332010602,0009,L,PICO,7.100,24.00000,6.5985,28.0000,C,40,CO,99,DC,5,C,,,
1618974010602,300100750351,9/26/2010,2,007,1,11011321010602,0010,L,PICO,5.400,24.00000,3.8169,28.0000,C,60,CO,99,DC,5,C,,,
1618974010602,300100750351,9/26/2010,2,007,1,11011323010602,0011,L,PICO,5.500,24.00000,3.9596,28.0000,C,50,CO,99,DC,5,C,,,
1618974010602,300100750351,9/26/2010,2,007,1,11011318010602,0012,L,PICO,5.100,24.00000,3.4046,28.0000,C,70,CO,99,DC,5,C,,,
1618974010602,300100750351,9/26/2010,2,007,1,11011320010602,0013,L,PICO,5.300,24.00000,3.6769,28.0000,C,60,CO,99,DC,5,C,,,
1618974010602,300100750351,9/26/2010,2,007,1,11011328010602,0014,D,PICO,6.800,24.00000,6.0526,29.0000,M,,,,,,,,,1
1618974010602,300100750351,9/26/2010,2,007,1,11011333010602,0015,D,PICO,7.100,24.00000,6.5985,43.0000,M,,,,,,,,,1
1618974010602,300100750351,9/26/2010,2,007,1,11011340010602,0016,D,PICO,6.400,24.00000,5.3615,,,,,,,,,,,2
1618974010602,300100750351,9/26/2010,2,007,1,11011322010602,0017,L,PICO,5.500,24.00000,3.9596,28.0000,C,40,CO,99,DC,5,C,,,
1618974010602,300100750351,9/26/2010,2,007,1,11011324010602,0018,D,PICO,5.600,24.00000,4.1049,31.0000,M,,,,,,,,,1
1618974010602,300100750351,9/26/2010,2,007,1,11011317010602,0019,D,PICO,5.100,24.00000,3.4046,30.0000,M,,,,,,,,,1
1618974010602,300100750351,9/26/2010,2,007,1,11011327010602,0020,D,PICO,5.800,24.00000,4.4033,26.0000,M,,,,,,,,,1
1618974010602,300100750351,9/26/2010,2,007,1,11011334010602,0021,D,PICO,7.300,24.00000,6.9754,29.0000,M,,,,,,,,,1
1618974010602,300100750351,9/26/2010,2,007,1,11011325010602,0022,D,PICO,5.600,24.00000,4.1049,29.0000,M,,,,,,,,,1
1618974010602,300100750351,9/26/2010,2,007,1,11011336010602,0023,L,PICO,2.500,300.00000,10.2263,11.0000,M,40,CO,91,TM,,,0.4,M,
1618974010602,300100750351,9/26/2010,2,007,1,11011316010602,0024,L,PICO,2.400,300.00000,9.4245,11.0000,C,10,OV,91,TC,,,0.4,C,
1618974010602,300100750351,9/26/2010,2,007,1,11011337010602,0025,L,PICO,3.500,300.00000,20.0435,29.0000,M,20,CO,78,DM,2,M,,,
1618974010602,300100750351,9/26/2010,2,007,1,11011315010602,0026,L,ABLA,,900.00000,,3.0000,M,70,OV,,,,,1,M,
1619250010602,300100759031,9/29/2009,2,007,1,11013386010602,0009,L,PSME,7.100,24.07000,6.6177,33.0000,C,45,IN,94,DC,5,C,,,
1619250010602,300100759031,9/29/2009,2,007,1,11013388010602,0010,L,PSME,8.300,24.07000,9.0437,33.0000,C,40,IN,94,DC,5,C,,,
1619250010602,300100759031,9/29/2009,2,007,1,11013385010602,0011,D,PICO,10.300,24.07000,13.9273,44.0000,M,,,,,,,,,1
1619250010602,300100759031,9/29/2009,2,007,1,11013392010602,0012,L,PSME,10.200,24.07000,13.6581,41.0000,M,60,CO,136,DM,6,M,,,
1619250010602,300100759031,9/29/2009,2,007,1,11013387010602,0013,L,PSME,7.700,24.07000,7.7835,33.0000,C,40,IN,94,DC,5,C,,,
1619250010602,300100759031,9/29/2009,2,007,1,11013382010602,0014,D,PICO,8.000,24.07000,8.4018,50.0000,M,,,,,,,,,1
1619250010602,300100759031,9/29/2009,2,007,1,11013394010602,0015,L,PSME,,4497.90000,,0.3000,M,90,OV,,,,,,,
1619250010602,300100759031,9/29/2009,2,007,1,11013395010602,0016,L,PSME,,299.86000,,1.0000,M,80,OV,,,,,,,
1619250010602,300100759031,9/29/2009,2,007,1,11013384010602,0001,D,PICO,5.700,24.07000,4.2652,40.0000,M,,,,,,,,,1
1619250010602,300100759031,9/29/2009,2,007,1,11013383010602,0002,D,PICO,8.400,24.07000,9.2630,44.0000,M,,,,,,,,,1
1619250010602,300100759031,9/29/2009,2,007,1,11013381010602,0003,D,PICO,6.400,24.07000,5.3771,36.0000,M,,,,,,,,,1
1619250010602,300100759031,9/29/2009,2,007,1,11013380010602,0004,D,PICO,5.400,24.07000,3.8281,25.0000,M,,,,,,,,,1
1619250010602,300100759031,9/29/2009,2,007,1,11013393010602,0005,L,PSME,16.300,24.07000,34.8792,46.0000,M,75,CO,143,DM,6,M,,,
1619250010602,300100759031,9/29/2009,2,007,1,11013389010602,0006,L,PSME,14.200,24.07000,26.4709,46.0000,C,65,CO,143,DC,6,C,,,
1619250010602,300100759031,9/29/2009,2,007,1,11013390010602,0007,L,PSME,15.000,24.07000,29.5375,46.0000,C,65,CO,143,DC,6,C,,,
